HD_ID,HD_NAME,HD_ALT_NAMES,NHPP_ID,NHPP_NAME,NHPP_ALT_NAMES
AMPG,Amphu Gyabjen,Amphu Gyabien,,,
ANNE,Annapurna I East,,,,
ANNM,Annapurna I Middle,,,,
CTSE,Changtse,Everest North Peak,,,
FIRN,Firnkopf,"Phirankoph, Firnkopf East",,,
GAMA,Gama Peak,,,,
MATA,Matathumba,"Matatumpa, Ghyuthumba East",,,
GIME,Gimmigela Chuli East,Twins,,,
GIMM,Gimmigela Chuli,Twins,,,
RANI,Rani Peak,"Lidanda Peak, Himalchuli Northeast",,,
JAGD,Jagdula,,,,
JUNC,Junction Peak,,,,
KABD,Kabru Dome,,,,
KAG1,Kagmara I,,,,
KAN1,Kande Hiunchuli North  I,,,,
KAN2,Kande Hiunchuli North  II,,,,
KANG,Kangchenjunga,,,,
KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo, Abi Peak?",,,
KTSU,Kangtsune,"Kangchunne, Kanchauni Lekh",,,
MACH,Machhapuchhare,,,,
MAKA,Makalu,,,,
MARD,Mardi Himal,,,,
MING,Mingbo Ri,,,,
NGO2,Ngojumba Kang II,,,,
OMBK,Ombak Himal,,,,
POIN,Pointed Peak,,,,
POKA,Pokalde,Dolma Ri,,,
SNOW,Snow Peak,,,,
TONG,Tongu,,,,
TSUR,Tsaurabong Peak,"Chara Ban Peak, White Peak",,,
CHRE,Churen Himal East,,,,
CHRW,Churen Himal West,,,,
SRKU,Serku Dolma,,,,
NALS,Nalakankar South,,,,
DZAN,Dzanye,Dzanaye,,,
LNKE,Lunchhung Kamo East,,,,
PLNG,Palung,Palung Ri,,,
NUPE,Nuptse East I,,,,
KABS,Kabru South,,,,
PHNH,Phungi Himal,,,,
KHAM,Khamjung,"Khumjung, Khamjungar",,,
MUPK,Mustang Peak,,,,
KUML,Kumlung,Kang Kuru?,,,
GAN7,Ganesh VII,,,,
CHKA,Chamar Kang,"Chharka, Kangtega",,,
AMPM,Amphu Middle,Amphu North,,,
MYAG,Myagdi Matha,,,,
KAGA,Kanta Gaton,Kangfu Gaton,,,
ROMA,Roma,,,,
TAWA,Tawa,,,,
MPNE,Manapathi NE,,,,
GOJN,Gojung,Mugu Chuli,,,
CHUB,Chhuboche,,,,
LUNW,Lunag West,,,,
LUN2,Lunag II,,,,
TRIA,Triangle Peak,,,,
CHMR,Chamar,Shringi Himal,,,
PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",,,
KAIP,Kaipuchonam,,,,
KARS,Karsang Khang,UAAA Peak,,,
GDNG,Gave Ding,,,,
KIMS,Kimshung,"Kinshung, Tsangbu Ri",,,
PAWR,Pawar Central,Chaar Baatsa,,,
NGOR,Nagoru,,,,
NUPW,Nuptse West II,Nuptse Nup II,,,
NILE,Nilgiri East,,,,
FUTI,Futi Himal,,,,
SANB,Sano Bhrikuti,,,,
SANK,Sano Kailash,,,,
TARS,Tarke Kang Shar,Tare Kang,,,
KORL,Korlang Pari Tippa,Korlang Pari Tippa North,,,
JANE,Jannu East,Khumbhakarna East,,,
LUZA,Luza,,,,
OMRC,Omoga Ri Chang,,,,
DOR2,Dorje Lakpa II,Jugal Himal,,,
,,,KANM,Kanchenjunga Main,
,,,MAK1,Makalu I,
,,,MKSE,Makalu South East,
,,,NGOK,Ngojumba Khang,
,,,CHRC,Churen,
,,,KABM,Kabru,
,,,NPP2,Nepal Peak II,
,,,PASE,Pathibhara South East,
,,,PANE,Pathibhara North East,
,,,CHUN,Chumbu North,
,,,DZA1,Dzanye I,Dzanaye Peak
,,,KMJG,Khumjung Himal,
,,,FIRE,Firankof East,
,,,PUTW,Putha West,
,,,PUTS,Putha Shoulder,
,,,CHKH,Changla Khang,
,,,LAMA,Mt Lama,
,,,ROKN,Rolwaling Khang North,
,,,PHGE,Phunge,
,,,RON2,Rongshar Ri II,
,,,MAHA,Mahalangur Peak,
,,,YASE,Yanme Khang South East,
,,,KNCH,Kanchauni,
,,,CHH1,Chhuama Peak I,
,,,NANW,Nangamari North West,
,,,KAIM,Kaipuchonam Main,
,,,CHDE,Changdi East,
,,,CHH2,Chhuama Peak II,
,,,DGRS,Dogari South,
,,,TNK2,Tankya II,
,,,CHFW,Chaw Far West,
,,,NYAL,Nyalu,
,,,CHH3,Chhuama Peak III,
,,,TNK3,Tankya III,
,,,SENP,Senup,
,,,GNG1,Ganglung Gangri I,
,,,TNK4,Tankya IV,
,,,CHNW,Changla Khang North West,
,,,CHMA,Chungen Changma,
,,,KANW,Kaipuchonam North West,
,,,KEK1,Kekyap Ri I,
,,,MNSE,Mansail East,
,,,CHH4,Chhuama Peak IV,
,,,PAL1,Palchung I,
,,,CPHN,Chhochenphu North,
,,,MUS2,Mustang Himal II,
,,,YOLU,Yolungma Khang,
,,,JBRN,Jabou Ri North,
,,,KOGK,Kogi Khang,
,,,KAIW,Kaipuchonam West,
,,,KESH,Kesang Khang / UAAA Peak,
,,,JYLT,Jyanglatunpu Peak,
,,,ASJW,Asajya Tuppa West,
,,,NUPC,Nupchu Peak,
,,,ABIM,Abi,
