PEAKID,URL,LAT,LON,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,PCLIMBED,PHOST_DESC,IS_HD_PEAK
ABIM,https://nepalhimalpeakprofile.org/abi,27.98333333333333,86.72361111111111,"Abi, situated in the Khumbu Himal range, is located in the Mahalangur Solukhumbu region (eastern part) of Nepal. It is also known as Cholo and Kangchung from the pass that reaches it – the Kangchung La. Mt Abi is considered as a perfect training mountain for ice climbing and high-altitude acclimatization as it requires careful ascent up towards the technical ridges in its peak.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Mahalangur,Spring 4000 (NRs),Spring 250 (USD),Abi,,,6043.0,19826.0,,,True,,,,Opened,,,,,,,,,,,,,,,False
ACHN,https://nepalhimalpeakprofile.org/aichyn,30.27083333333333,81.85972222222222,"Aichyn peak is situated in the Chandi sub range of the Nepalese Himalayas. It has the second lowest elevation in the Chandi sub range which include Nyalu, Ganglung Gangri I , Chandi Himal, Changwathang, Aichyn and Ardang in the order highest to lowest in elevation. Aichyn was one of the 25 peaks attempted to climb after the devastating earthquak on 25th April.",Karnali Pradesh,Humla,Namkha,Chanwathan,Spring 4000 (NRs),Spring 250 (USD),Aichyn,"Aychin, Ashvin",Chandi Himal (SW of Changwathang),6055.0,19865.0,17.0,7.0,True,False,False,,Opened in 2014,1.0,2.0,"Other map altitudes:
   6055m - HMG-MT

Altitude not shown on HMG-Finn map",2015.0,3.0,ACHN15301,2015-09-03,Japan,"Hiroki Senda, et al",,,,True,Nepal only,True
TENE,https://nepalhimalpeakprofile.org/agole-east,27.854722222222225,86.56888888888888,,Province 1,Solukhumbu,Khumbu Pasang Lhamu,Rolwaling,Spring 5000 (NRs),Spring 400 (USD),Tengi Ragi Tau East,"Agole East, Angole East",Rolwaling Himal (NE of Tesi Laptsa),6675.0,21900.0,19.0,2.0,False,True,False,,Opened,1.0,2.0,"Other map altitudes:
   6675m - HMG-Finn
   6650m - Schneider",2005.0,3.0,TENE05301,2005-11-20,France,"Maxime Belleville, Julien Herry",,,,True,Nepal only,True
AMAD,https://nepalhimalpeakprofile.org/ama-dablam,27.861804,86.860078,"Ama Dablam, also known as Amai Dablang, popularly known as “Matterhorn of the Himalay”, is one of the well-known peaks in the Himalaya range. It is the third most popular Himalayan peak permitted for expedition. It belongs to the Mahalangur sub range of the Nepalese Himalayas. The name Ama Dablam mean “Mother’s necklace”. The long ridges on its either side are considered the arms of mother (ama) wich are protecting her child and the hanging glaciers are considered the dablam, which mean a traditional double pendant with the god’s picture imprinted on it, much worn by the Sherpa women in Nepal.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Spring 8000 (NRs),Spring 400 (USD),Ama Dablam,Amai Dablang,Khumbu Himal,6814.0,22356.0,12.0,2.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   6814m - HMG-MT, HMG-Finn, Shangri La 
   6828m - NGS/Washburn Everest, Kielkowski
   6856m - Nepa, Schneider, Japan MMW

Altitude milestones on Ama Dablam:

   5950m - Yellow Tower
   6050m - Grey Tower
   6150m - Mushroom Ridge
   6600m - Avalanche site",1961.0,1.0,AMAD61101,1961-03-13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",,,"W Face (High 126:5 May 1993)
SE Face (High 144:38 Nov 1994)
NW Face (High 167:66 Jul 1996)
NE Face (High 218:77 Jan 2001)
NW Face (AAJ 71:6 1997) (Slovene 1996 route) 
SE Face (AAJ 69:240 1995)
SW Side (AAJ 64:225 1990)
NE Face (AAJ 58:236 1984, 60:222 1986, 61:33 1987)
W Face (AAJ 61:229 1987) (various routes)
W Side (AAJ 57:1 1983)
S Ridge/SW Face (AAJ 53:450 1980)",True,Nepal only,True
AMOT,https://nepalhimalpeakprofile.org/amotsang-himal,28.834722222222226,84.1725,,Gandaki Pradesh,Manang,Nar Phu,Damodar,Spring 4000 (NRs),Spring 250 (USD),Amotsang,Amatson,Damodar Himal (NW of Pokharhan),6393.0,20974.0,3.0,5.0,True,False,False,,Opened in 2002,1.0,2.0,"Other map altitudes:
   6392m - HMG-MT, Leomann
   6393m - HMG-Finn, Nepa",2019.0,3.0,,2019-10-24,Germany,Jost Kobusch,Possibly climbed earlier,,,True,Nepal only,True
AMPH,https://nepalhimalpeakprofile.org/amphu-i,27.87027777777778,86.95555555555556,Amphu I is located in the Mahalangur range of the Nepalese Himalayas.,Province 1,Solukhumbu,Khumbu Pasang Lhamu/Mahakulung,Mahalangur,Spring 5000 (NRs),Spring 400 (USD),Amphu I,,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740.0,22113.0,12.0,2.0,True,False,False,,Opened in 2002,1.0,2.0,"Other map altitudes:
    6740m - HMG-Finn
    6840m - HMG-MT, Schneider, Japan MMW",2013.0,3.0,AMPH13301,2013-10-09,S Korea,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon",,,,True,Nepal only,True
AMPG,,27.881117,86.868071,Amphu Gyabjen (5 647m/18 527ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 305m/1 001ft.By elevation Amphu Gyabjen is# 73 out of 83 in Sagarmatha National Park# 88 out of 99 in SolukhumbuBy prominence Amphu Gyabjen is# 42 out of 83 in Sagarmatha National Park# 84 out of 212 in Eastern Development Region# 55 out of 99 in Solukhumbu,Province 1,Solukhumbu/NC,,Khumbu,,,Amphu Gyabjen,Amphu Gyabien,Khumbu Himal (N of Ama Dablam),5630.0,18471.0,12.0,2.0,True,False,False,,Opened in 2002,1.0,2.0,"Other map altitudes:
   5630m - HMG-Finn, Nepa, Shangri La
   5647m - HMG-MT, NGS/Washburn Everest, Kielkowski
   5650m - Schneider, Japan MMW",1953.0,1.0,AMPG53101,1953-04-11,UK,"John Hunt, Tom Bourdillon",,,,True,Nepal only,True
AMPM,,27.871873,86.910537,"Amphu Middle is a six-thousander in the Khumbu Himal in north- eastern Nepal . The 6238 m [1] high mountain is located between the Chhukhung Glacier in the west and the Amphu Labtsa Glacier in the east. Immediately to the east of the mountain is a commonly climbed pass, the 5780 m high Amphu Labtsa . It connects the Hongu and Imja valleys. Directly opposite it to the north is Island Peak , to the west is Ama Dablam , and to the east is Baruntse. The mountain has three prominent peaks, of which the middle one, to the west and north of the other two, is the highest point of the mountain at 6238 m.",Province 1,Solukhumbu,Khumbu Pasang Lhamu/Mahakulung,Mahalangur,"Spring 5000, Autumn 2500, Winter/Summer 1250","Spring 400, Autumn 200, Winter/Summer 100",Amphu Middle,Amphu North,Khumbu Himal (NW of Amphu Laptsa),6202.0,20348.0,12.0,2.0,False,True,False,,Requires permit for Amphu I,1.0,2.0,"Other map altitudes:
    6202m - HMG-Finn
    6238m - Schneider",2008.0,1.0,AMPM08101,2008-04-20,Germany,"Olaf Rieck, Alexander Graeber",,,,True,Nepal only,True
ANID,https://nepalhimalpeakprofile.org/anidesh-chuli,27.71861111111111,88.07083333333333,"Anidesh Chuli is situated in the Kanchenjunga mountain range of Eastern Nepal bordering Sikkim (India). Anidesh Chuli (White Wave) is part of the western edge of the Kanchenjunga massif. Anidesh Chuli is a beautiful icy peak on the side ridge separating the Kumbhakarna Glacier and Ramtang Glacier. Anidesh Chuli has an altitude of 6808 meters. Anidesha Chuli is the Nepali name of this peak, and previously, Anidesh Chuli was known as White Wave. Anidesh Chuli is 4.6km west of Khangbachen peak and 4.5km south west of Ramtang peak. Kumbhakarna peak is 4.8 km south west of Anidesh Chuli.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD),Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808.0,22336.0,9.0,1.0,True,False,False,,Opened in 2002,1.0,1.0,"Other map altitudes:
   6770m - Japan MMW
   6797m - Kielkowski, HMT-MT (White Wave)
   6808m - HMG-Finn
   6960m - HMG-MT, Shangri La

The Japanese MMW map gives White Wave as 6770m and names the entire ridge from Kambachen to Merra Peak as Anidesh Himal.

Ministry of Tourism lists two separate peaks:
   Anidesh Chuli (6960m)
   White Wave (6797m) ",,0.0,,,,Unclimbed,,,,False,Nepal only,True
ANN1,https://nepalhimalpeakprofile.org/annapurna-i,28.59555555555556,83.82249999999999,"Mount Annapurna I is the tenth highest mountainin the world at 8,091 metres
(26,545 ft). It is in the Annapurna massif of Nepal Himalayas. Annapurna
massif includes many peaks over 7,000 metres. The massif is bounded by the
Kali Gandaki Gorgeto the west, the Marshyangdi Riverin the north and east,
and by Pokhara Valleyin the south. At the western end, the massif encloses a
high basin called the Annapurna Sanctuary.
In 1950, Maurice Herzogled a French expedition to its summit, making it the
first of the eight-thousandersto be successfully climbed. The Annapurna peaks
are among the world's most dangerous mountains to climb. The mountain is
named after Annapurna, the Hindu goddess of food and nourishment, who is
said to reside there. The name Annapurna is derived from the
Sanskritlanguage—purnameans filled and annameans food.
Annapurna I is located on the border of Myagdi and Kaski districts in Gandaki
province of Nepal. Annapurna I is 6.1 km west northwest of Singu Chuli.
Khangsar Khang West is 4.0 km east northeast and Varaha Shikhar is 2.7 km
south southwest of Annapurna I.",Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD),Annapurna I,,Annapurna Himal,8091.0,26545.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   8091m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1950.0,1.0,ANN150101,1950-06-03,France,"Maurice Herzog, Louis Lachenal",,Dyhrenfurth history 1950-1977 (MM 58:44-47 Nov 1977),"S Face (High 122:3 Jan 1993) (Beghin accident)
N Face (High 205:72 Dec 1999)
N Side (MM 88:41 Nov 1982)
NW Face (MM 58:46 Nov 1977)
S Face (MM 58:46 Nov 1977)
S Face (MM 12:20 Nov 1970) (Bonington route)
W Face (AAJ 66:220 1992) (various routes)",True,Nepal only,True
